NV001a	NV001b	NV002a	NV002b	NV003a	NV003b	NV004a	NV004b	NV005a	NV005b	NV006a	NV006b	NV007a	NV007b	NV008a	NV008b	NV009a	NV009b	NT010a	NT010b	NT011a	NT011b	NT012a	NT012b	NT013a	NT013b	NT014a	NT014b	NT015a	NT015b	NT016a	NT016b	NT017a	NT017b	NT018a	NT018b	NH019a	NH019b	NH020a	NH020b	NH021a	NH021b	NH022a	NH022b	NH023a	NH023b	NH024a	NH024b	NH025a	NH025b	NH026a	NH026b	VU027a	VU027b	VU028a	VU028b	VU029a	VU029b	VU030a	VU030b	VU031a	VU031b	VU032a	VU032b	VU033a	VU033b	VU034a	VU034b	VU035a	VU035b	VO036a	VO036b	VO037a	VO037b	VO038a	VO038b	VO039a	VO039b	VO040a	VO040b	VO041a	VO041b	VO042a	VO042b	VO043a	VO043b	VD044a	VD044b	VD045a	VD045b	VD046a	VD046b	VD047a	VD047b	VD048a	VD048b	VD049a	VD049b	VD050a	VD050b	VD051a	VD051b	VD052a	VD052b	EM053a	EM053b	EM054a	EM054b	EM055a	EM055b	EM056a	EM056b	EM057a	EM057b	EM058a	EM058b	EM059a	EM059b	EM060a	EM060b	EM061a	EM061b	ES062a	ES062b	ES063a	ES063b	ES064a	ES064b	ES065a	ES065b	ES066a	ES066b	ES067a	ES067b	ES068a	ES068b	ES069a	ES069b	ES070a	ES070b	EV071a	EV071b	EV072a	EV072b	EV073a	EV073b	EV074a	EV074b	EV075a	EV075b	EV076a	EV076b	EV077a	EV077b	EV078a	EV078b	SN079a	SN079b	SN080a	SN080b	SN081a	SN081b	SN082a	SN082b	SN083a	SN083b	SN084a	SN084b	SN085a	SN085b	SN086a	SN086b	SN087a	SN087b	SV088a	SV088b	SV089a	SV089b	SV090a	SV090b	SV091a	SV091b	SV092a	SV092b	SV093a	SV093b	SV094a	SV094b	SV095a	SV095b	SM096a	SM096b	SM097a	SM097b	SM098a	SM098b	SM099a	SM099b	SM100a	SM100b	SM101a	SM101b	SM102a	SM102b	SM103a	SM103b	SM104a	SM104b	FF105a	FF105b	FF106a	FF106b	FF107a	FF107b	FF108a	FF108b	FF109a	FF109b	FF110a	FF110b	FF111a	FF111b	FF112a	FF112b	FL113a	FL113b	FL114a	FL114b	FL115a	FL115b	FL116a	FL116b	FL117a	FL117b	FL118a	FL118b	FL119a	FL119b	FL120a	FL120b	FM121a	FM121b	FM122a	FM122b	FM123a	FM123b	FM124a	FM124b	FM125a	FM125b	FM126a	FM126b	FM127a	FM127b	FM128a	FM128b	FM129a	FM129b	FM130a	FM130b	OTU_ID	pident	kingdom	phylum	class	order	family	genus	species	alternatives	redundancy
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	000e35f8b194c714b588f7168220c1d37ef08bb9	98.089	Metazoa	Arthropoda	Insecta	Diptera	Cecidomyiidae		Cecidomyiidae sp. BOLD-2016	Cecidomyiidae sp. BOLD-2016, 1, 98.089, Cecidomyiidae sp. BOLD-2016, 8, 97.452, Cecidomyiidae sp. BOLD-2016, 4, 97.436	197
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0024ef3b6044d2a9e512440b9e90337d44f6ec80	100	Metazoa	Arthropoda	Insecta	Lepidoptera	Elachistidae	Elachista	Elachista alpinella	Elachista alpinella, 13, 100.000, Elachista alpinella,  2,  99.363	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	004c49994efb480a296aaed77a4f4a47b2337562	99.363	Metazoa	Arthropoda	Insecta	Diptera	Cecidomyiidae		Cecidomyiidae sp. BOLD:ACB1168	Cecidomyiidae sp. BOLD:ACB1168, 7, 99.363, Cecidomyiidae sp. BOLD-2016, 1, 99.363	6
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00679709ba75059c3ea3589fdbc4cb598063356e	100	Metazoa	Arthropoda	Insecta	Lepidoptera	Gracillariidae	Parornix	Parornix devoniella	Parornix devoniella, 3, 100	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0088ca0d4ba0225f62cf94ce8a1d704ef63c92d2	100	Metazoa	Arthropoda	Insecta	Ephemeroptera	Baetidae	Cloeon	Cloeon dipterum	Cloeon dipterum, 5, 100.000, Cloeon dipterum, 1,  99.363	3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00a38cac840f828b925b68b23d771688350b9f7e	100	Metazoa	Arthropoda	Arachnida	Araneae	Theridiidae	Enoplognatha	Enoplognatha ovata	Enoplognatha ovata, 32, 100.000, Enoplognatha ovata,  6,  99.363	9
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00e6da1a59bf1b53906bf588d15bfdbdbec66721	87.179	Metazoa	Arthropoda	Arachnida	Sarcoptiformes	Oribatellidae	unmatched	unmatched_Oribatellidae_sp	Oribatella sp. BOLD:AAB3348, 1, 87.179, Ceratozetes gracilis, 1, 86.538	3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	23	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	461	14861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	012401b0a0c75c138a2624089040f36c4a72bd44	91.026	Metazoa	Arthropoda	Insecta	Diptera	Drosophilidae	Impatiophila	unmatched_Impatiophila_sp	Impatiophila aspidosternata, 2, 91.026, Allobaccha eclara, 1, 90.446, Ceratopogonidae sp. BOLD:AAG6432, 2, 90.385, Agromyzidae sp. BOLD:ACB1212, 1, 90.385, Mycetophilidae sp. BOLD-2016, 1, 90.385, Megaselia sp. BOLD-2016, 2, 90.323, Melanagromyza obtusa, 1, 90.323, Phoridae sp. BOLD-2016, 1, 90.323, Allobaccha eclara, 1, 89.809	9
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0138f0c791cac1071ea8a991e1c17a4aeef6eb6c	94.194	Metazoa	Arthropoda	Insecta	Diptera	ambiguous	ambiguous	unmatched__sp	Pterostichus amethystinus, 1, 94.231, Tipulidae sp. BOLD:AAV1796, 3, 94.194, Limoniidae sp. BOLD-2016, 1, 94.194, Limoniidae sp. BOLD:AAV1796, 1, 94.194, Sarcophaga ruficornis, 1, 94.194, Pterostichus amethystinus, 2, 93.590, Ravinia lherminieri, 2, 93.590, Ravinia floridensis, 1, 93.590, Ravinia querula, 1, 93.590, Sarcophaga ruficornis, 9, 93.548, Mycetophilidae sp. BOLD:AAG4958, 5, 93.548, Rondaniella dimidiata, 2, 93.548, Ephydridae sp. BOLD-2016, 1, 93.548, Rondaniella sp. BOLD:AAG4958, 1, 93.548, Sarcophaga seniorwhitei, 1, 93.548	3076
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	24	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	211	0	0	0	0	0	0	0	0	0	0	0153354bbd1df63ca89f65c4df618760ca899db9	97.436	Metazoa	Arthropoda	Insecta	Diptera	Limoniidae	Symplecta	unmatched_Symplecta_sp	Symplecta stictica, 24, 97.436, Chioneinae sp. BOLD:AAP2736,  1, 97.436, Limoniidae sp. BOLD-2016,  1, 97.436, Symplecta stictica,  3, 96.795, Symplecta stictica,  1, 96.154	7
