Sample	Site
S001	NV001a
S002	NV002a
S003	NV003a
S004	NV004a
S005	NV005a
S006	NV006a
S007	NV007a
S008	NV008a
S009	NV009a
S010	NT010a
S011	NT011a
S012	NT012a
S013	NT013a
S014	NT014a
S015	NT015a
S016	NT016a
S017	NT017a
S018	NT018a
S019	NH019a
S020	NH020a
S021	NH021a
S022	NH022a
S023	NH023a
S024	NH024a
S025	NH025a
S026	NH026a
S027	VU027a
S028	VU028a
S029	VU029a
S030	VU030a
S031	VU031a
S032	VU032a
S033	VU033a
S034	VU034a
S035	VU035a
S036	VO036a
S037	VO037a
S038	VO038a
S039	VO039a
S040	VO040a
S041	VO041a
S042	VO042a
S043	VO043a
S044	VD044a
S045	VD045a
S046	VD046a
S047	VD047a
S048	VD048a
S049	VD049a
S050	VD050a
S051	VD051a
S052	VD052a
S053	EM053a
S054	EM054a
S055	EM055a
S056	EM056a
S057	EM057a
S058	EM058a
S059	EM059a
S060	EM060a
S061	EM061a
S062	ES062a
S063	ES063a
S064	ES064a
S065	ES065a
S066	ES066a
S067	ES067a
S068	ES068a
S069	ES069a
S070	ES070a
S071	EV071a
S072	EV072a
S073	EV073a
S074	EV074a
S075	EV075a
S076	EV076a
S077	EV077a
S078	EV078a
S079	SN079a
S080	SN080a
S081	SN081a
S082	SN082a
S083	SN083a
S084	SN084a
S085	SN085a
S086	SN086a
S087	SN087a
S088	SV088a
S089	SV089a
S090	SV090a
S091	SV091a
S092	SV092a
S093	SV093a
S094	SV094a
S095	SV095a
S096	SM096a
S097	SM097a
S098	SM098a
S099	SM099a
S100	SM100a
S101	SM101a
S102	SM102a
S103	SM103a
S104	SM104a
S105	FF105a
S106	FF106a
S107	FF107a
S108	FF108a
S109	FF109a
S110	FF110a
S111	FF111a
S112	FF112a
S113	FL113a
S114	FL114a
S115	FL115a
S116	FL116a
S117	FL117a
S118	FL118a
S119	FL119a
S120	FL120a
S121	FM121a
S122	FM122a
S123	FM123a
S124	FM124a
S125	FM125a
S126	FM126a
S127	FM127a
S128	FM128a
S129	FM129a
S130	FM130a
S137	NV001b
S138	NV002b
S139	NV003b
S140	NV004b
S141	NV005b
S142	NV006b
S143	NV007b
S144	NV008b
S145	NV009b
S146	NT010b
S147	NT011b
S148	NT012b
S149	NT013b
S150	NT014b
S151	NT015b
S152	NT016b
S153	NT017b
S154	NT018b
S155	NH019b
S156	NH020b
S157	NH021b
S158	NH022b
S159	NH023b
S160	NH024b
S161	NH025b
S162	NH026b
S163	VU027b
S164	VU028b
S165	VU029b
S166	VU030b
S167	VU031b
S168	VU032b
S169	VU033b
S170	VU034b
S171	VU035b
S172	VO036b
S173	VO037b
S174	VO038b
S175	VO039b
S176	VO040b
S177	VO041b
S178	VO042b
S179	VO043b
S180	VD044b
S181	VD045b
S182	VD046b
S183	VD047b
S184	VD048b
S185	VD049b
S186	VD050b
S187	VD051b
S188	VD052b
S189	EM053b
S190	EM054b
S191	EM055b
S192	EM056b
S193	EM057b
S194	EM058b
S195	EM059b
S196	EM060b
S197	EM061b
S198	ES062b
S199	ES063b
S200	ES064b
S201	ES065b
S202	ES066b
S203	ES067b
S204	ES068b
S205	ES069b
S206	ES070b
S207	EV071b
S208	EV072b
S209	EV073b
S210	EV074b
S211	EV075b
S212	EV076b
S213	EV077b
S214	EV078b
S215	SN079b
S216	SN080b
S217	SN081b
S218	SN082b
S219	SN083b
S220	SN084b
S221	SN085b
S222	SN086b
S223	SN087b
S224	SV088b
S225	SV089b
S226	SV090b
S227	SV091b
S228	SV092b
S229	SV093b
S230	SV094b
S231	SV095b
S232	SM096b
S233	SM097b
S234	SM098b
S235	SM099b
S236	SM100b
S237	SM101b
S238	SM102b
S239	SM103b
S240	SM104b
S241	FF105b
S242	FF106b
S243	FF107b
S244	FF108b
S245	FF109b
S246	FF110b
S247	FF111b
S248	FF112b
S249	FL113b
S250	FL114b
S251	FL115b
S252	FL116b
S253	FL117b
S254	FL118b
S255	FL119b
S256	FL120b
S257	FM121b
S258	FM122b
S259	FM123b
S260	FM124b
S261	FM125b
S262	FM126b
S263	FM127b
S264	FM128b
S265	FM129b
S266	FM130b
S321	NV001a
S322	NV002a
S323	NV003a
S324	NV004a
S325	NV005a
S326	NV006a
S327	NV007a
S328	NV008a
S329	NV009a
S330	NT010a
S331	NT011a
S332	NT012a
S333	NT013a
S334	NT014a
S335	NT015a
S336	NT016a
S337	NT017a
S338	NT018a
S339	NH019a
S340	NH020a
S341	NH021a
S342	NH022a
S343	NH023a
S344	NH024a
S345	NH025a
S346	NH026a
S347	VU027a
S348	VU028a
S349	VU029a
S350	VU030a
S351	VU031a
S352	VU032a
S353	VU033a
S354	VU034a
S355	VU035a
S356	VO036a
S357	VO037a
S358	VO038a
S359	VO039a
S360	VO040a
S361	VO041a
S362	VO042a
S363	VO043a
S364	VD044a
S365	VD045a
S366	VD046a
S367	VD047a
S368	VD048a
S369	VD049a
S370	VD050a
S371	VD051a
S372	VD052a
S373	EM053a
S374	EM054a
S375	EM055a
S376	EM056a
S377	EM057a
S378	EM058a
S379	EM059a
S380	EM060a
S381	EM061a
S382	ES062a
S383	ES063a
S384	ES064a
S385	ES065a
S386	ES066a
S387	ES067a
S388	ES068a
S389	ES069a
S390	ES070a
S391	EV071a
S392	EV072a
S393	EV073a
S394	EV074a
S395	EV075a
S396	EV076a
S397	EV077a
S398	EV078a
S399	SN079a
S400	SN080a
S401	SN081a
S402	SN082a
S403	SN083a
S404	SN084a
S405	SN085a
S406	SN086a
S407	SN087a
S408	SV088a
S409	SV089a
S410	SV090a
S411	SV091a
S412	SV092a
S413	SV093a
S414	SV094a
S415	SV095a
S416	SM096a
S417	SM097a
S418	SM098a
S419	SM099a
S420	SM100a
S421	SM101a
S422	SM102a
S423	SM103a
S424	SM104a
S425	FF105a
S426	FF106a
S427	FF107a
S428	FF108a
S429	FF109a
S430	FF110a
S431	FF111a
S432	FF112a
S433	FL113a
S434	FL114a
S435	FL115a
S436	FL116a
S437	FL117a
S438	FL118a
S439	FL119a
S440	FL120a
S441	FM121a
S442	FM122a
S443	FM123a
S444	FM124a
S445	FM125a
S446	FM126a
S447	FM127a
S448	FM128a
S449	FM129a
S450	FM130a
S457	NV001b
S458	NV002b
S459	NV003b
S460	NV004b
S461	NV005b
S462	NV006b
S463	NV007b
S464	NV008b
S465	NV009b
S466	NT010b
S467	NT011b
S468	NT012b
S469	NT013b
S470	NT014b
S471	NT015b
S472	NT016b
S473	NT017b
S474	NT018b
S475	NH019b
S476	NH020b
S477	NH021b
S478	NH022b
S479	NH023b
S480	NH024b
S481	NH025b
S482	NH026b
S483	VU027b
S484	VU028b
S485	VU029b
S486	VU030b
S487	VU031b
S488	VU032b
S489	VU033b
S490	VU034b
S491	VU035b
S492	VO036b
S493	VO037b
S494	VO038b
S495	VO039b
S496	VO040b
S497	VO041b
S498	VO042b
S499	VO043b
S500	VD044b
S501	VD045b
S502	VD046b
S503	VD047b
S504	VD048b
S505	VD049b
S506	VD050b
S507	VD051b
S508	VD052b
S509	EM053b
S510	EM054b
S511	EM055b
S512	EM056b
S513	EM057b
S514	EM058b
S515	EM059b
S516	EM060b
S517	EM061b
S518	ES062b
S519	ES063b
S520	ES064b
S521	ES065b
S522	ES066b
S523	ES067b
S524	ES068b
S525	ES069b
S526	ES070b
S527	EV071b
S528	EV072b
S529	EV073b
S530	EV074b
S531	EV075b
S532	EV076b
S533	EV077b
S534	EV078b
S535	SN079b
S536	SN080b
S537	SN081b
S538	SN082b
S539	SN083b
S540	SN084b
S541	SN085b
S542	SN086b
S543	SN087b
S544	SV088b
S545	SV089b
S546	SV090b
S547	SV091b
S548	SV092b
S549	SV093b
S550	SV094b
S551	SV095b
S552	SM096b
S553	SM097b
S554	SM098b
S555	SM099b
S556	SM100b
S557	SM101b
S558	SM102b
S559	SM103b
S560	SM104b
S561	FF105b
S562	FF106b
S563	FF107b
S564	FF108b
S565	FF109b
S566	FF110b
S567	FF111b
S568	FF112b
S569	FL113b
S570	FL114b
S571	FL115b
S572	FL116b
S573	FL117b
S574	FL118b
S575	FL119b
S576	FL120b
S577	FM121b
S578	FM122b
S579	FM123b
S580	FM124b
S581	FM125b
S582	FM126b
S583	FM127b
S584	FM128b
S585	FM129b
S586	FM130b
